,Beer,Total_Votes,Rating,Brewery,Beer_Style,ABV,Region,Latitude,Longitude,City,State
187,Brett Loves Citra,166,4.3,Casey Brewing & Blending,Belgian Saison,6.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
188,The Cut: Apricot,66,4.35,Casey Brewing & Blending,American Wild Ale,5.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
189,Casey Family Preserves - Santa Rosa Plum,36,4.42,Casey Brewing & Blending,American Wild Ale,6.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
190,The Cut: Peach,77,4.37,Casey Brewing & Blending,American Wild Ale,5.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
191,East Bank,294,4.32,Casey Brewing & Blending,Belgian Saison,6.50%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
192,Advanced Oak Theory,92,4.36,Casey Brewing & Blending,American Wild Ale,5.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
193,Dry Hopped Oak Theory - Citra & Mosaic,28,4.46,Casey Brewing & Blending,American Wild Ale,5.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
194,Jammy,46,4.42,Casey Brewing & Blending,Belgian Saison,8.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
195,The Cut: Sour Balaton Cherry,143,4.56,Casey Brewing & Blending,American Wild Ale,5.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
196,Fruit Stand - Apricot,99,4.44,Casey Brewing & Blending,Belgian Saison,5.50%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
197,Oak Theory,252,4.38,Casey Brewing & Blending,American Wild Ale,5.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
198,The Cut: Blackberry,73,4.42,Casey Brewing & Blending,American Wild Ale,5.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
199,Dry Hopped Oak Theory - Amarillo & Simcoe,31,4.51,Casey Brewing & Blending,American Wild Ale,5.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
200,Saison,410,4.34,Casey Brewing & Blending,Belgian Saison,5.50%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
201,Casey Family Preserves - Nectarine,57,4.47,Casey Brewing & Blending,Belgian Saison,6.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
202,Casey Family Preserves - Laroda Plum,46,4.44,Casey Brewing & Blending,Belgian Saison,6.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
203,Casey Family Preserves - Peach Glow Haven And Roza,48,4.43,Casey Brewing & Blending,Belgian Saison,6.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
204,Casey Family Preserves - Sweet Cherry,41,4.44,Casey Brewing & Blending,Belgian Saison,5.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
205,Follow Your Heart Southward,40,4.51,Casita Cerveceria,American Imperial Stout,11.00%,south-atlantic,35.674,-77.64,Reba,NC
206,Imperial Coffee And Cigarettes,130,4.4,Cellarmaker Brewing Co.,Smoke Porter,10.40%,pacific,37.777171,-122.41073,San Francisco,CA
207,Vastness Of Space - Bourbon Barrel-Aged,79,4.53,Cellarmaker Brewing Co.,American Imperial Stout,11.00%,pacific,37.777171,-122.41073,San Francisco,CA
208,Double Dobis,161,4.45,Cellarmaker Brewing Co.,American Imperial IPA,8.50%,pacific,37.777171,-122.41073,San Francisco,CA
209,Dank Statement,63,4.44,Cellarmaker Brewing Co.,American Imperial IPA,10.80%,pacific,37.777171,-122.41073,San Francisco,CA
210,Brewer's Reserve Bourbon Barrel Cassian Sunset,724,4.36,Central Waters Brewing Co.,American Imperial Stout,11.70%,great-lakes,44.4422564,-89.27966409999999,Amherst,WI
211,Black Gold,762,4.55,Central Waters Brewing Co.,American Imperial Stout,11.00%,great-lakes,44.4422564,-89.27966409999999,Amherst,WI
212,Sungazer,50,4.43,Charles Towne Fermentory,New England IPA,6.80%,south-atlantic,32.7816236,-79.98524979999998,Charleston,SC
213,Marshal Zhukov's Imperial Stout - Bourbon Barrel Aged,99,4.46,Cigar City Brewing,American Imperial Stout,12.60%,south-atlantic,27.959001,-82.5091911,Tampa,FL
214,Caffè Americano,"1,147",4.47,Cigar City Brewing,American Imperial Stout,12.00%,south-atlantic,27.959001,-82.5091911,Tampa,FL
215,Xquic's Maple Imperial Stout,33,4.53,Cigar City Brewing,American Imperial Stout,11.00%,south-atlantic,27.959001,-82.5091911,Tampa,FL
216,Marshal Zhukov's Imperial Stout,"2,939",4.37,Cigar City Brewing,Russian Imperial Stout,11.80%,south-atlantic,27.959001,-82.5091911,Tampa,FL
217,Big Sound Scotch Ale - Bourbon Barrel Aged,669,4.37,Cigar City Brewing,Scotch Ale / Wee Heavy,8.50%,south-atlantic,27.959001,-82.5091911,Tampa,FL
218,Moat Water,404,4.37,Cigar City Brewing,English Sweet / Milk Stout,10.60%,south-atlantic,27.959001,-82.5091911,Tampa,FL
219,Marshal Zhukov's Imperial Stout - Zhukov's Penultimate Push,353,4.46,Cigar City Brewing,Russian Imperial Stout,11.00%,south-atlantic,27.959001,-82.5091911,Tampa,FL
220,Leon,560,4.44,Cigar City Brewing,British Barleywine,13.00%,south-atlantic,27.959001,-82.5091911,Tampa,FL
221,Maple Bourbon Barrel Aged Hunahpu's Imperial Stout,30,4.59,Cigar City Brewing,American Imperial Stout,15.40%,south-atlantic,27.959001,-82.5091911,Tampa,FL
222,Cigar City / 3 Sons - Across The Alley,29,4.49,Cigar City Brewing,American Imperial Stout,14.30%,south-atlantic,27.959001,-82.5091911,Tampa,FL
223,Hunahpu's Imperial Stout - Double Barrel Aged,"1,603",4.73,Cigar City Brewing,American Imperial Stout,11.00%,south-atlantic,27.959001,-82.5091911,Tampa,FL
224,Hunahpu's Imperial Stout - Bourbon Barrel-Aged,376,4.51,Cigar City Brewing,American Imperial Stout,14.60%,south-atlantic,27.959001,-82.5091911,Tampa,FL
225,Hunahpu's Imperial Stout,"4,358",4.57,Cigar City Brewing,American Imperial Stout,11.00%,south-atlantic,27.959001,-82.5091911,Tampa,FL
226,Pulp,252,4.39,Civil Society Brewing,American Pale Wheat Ale,6.30%,south-atlantic,26.889558,-80.11478199999998,Jupiter,FL
227,Bodhi,"1,686",4.47,Columbus Brewing Company,American Imperial IPA,8.50%,great-lakes,39.967413,-83.069273,Columbus,OH
228,Creeper,403,4.39,Columbus Brewing Company,American Imperial IPA,10.00%,great-lakes,39.967413,-83.069273,Columbus,OH
229,Barrel-Aged Legion,418,4.33,Community Beer Company,Russian Imperial Stout,11.60%,southwest,32.791431,-96.816057,Dallas,TX
230,Superdamp IPA,45,4.34,Comrade Brewing Company,American IPA,6.90%,mountain,39.675659,-104.89848799999999,Sullivan,CO
231,Superpower IPA,218,4.3,Comrade Brewing Company,American IPA,7.30%,mountain,39.675659,-104.89848799999999,Sullivan,CO
232,Superpower IPA - Fresh Hop,16,4.49,Comrade Brewing Company,American IPA,6.90%,mountain,39.675659,-104.89848799999999,Sullivan,CO
233,Infinite Sadness,33,4.31,Country Boy Brewing,American Black Ale,12.00%,south,38.043951899999996,-84.5092689,Lexington,KY
234,Existence,39,4.55,Creature Comforts,American Imperial Stout,11.80%,south-atlantic,33.9589924,-83.3802906,Athens-Clarke County,GA
235,Cosmik Debris,279,4.36,Creature Comforts,American Imperial IPA,8.00%,south-atlantic,33.9589924,-83.3802906,Athens-Clarke County,GA
236,Duende,58,4.48,Creature Comforts,American Imperial IPA,8.00%,south-atlantic,33.9589924,-83.3802906,Athens-Clarke County,GA
237,Tropicália,"1,337",4.38,Creature Comforts,American IPA,6.60%,south-atlantic,33.9589924,-83.3802906,Athens-Clarke County,GA
238,Nightmare On Brett Raspberry,120,4.43,Crooked Stave Artisan Beer Project,American Brett,9.66%,mountain,39.7392,-104.9903,Denver,CO
239,L'Brett D'Or,409,4.29,Crooked Stave Artisan Beer Project,American Wild Ale,5.00%,mountain,39.7392,-104.9903,Denver,CO
240,Mama Bear's Sour Cherry Pie,257,4.3,Crooked Stave Artisan Beer Project,American Wild Ale,7.00%,mountain,39.7392,-104.9903,Denver,CO
241,Raspberry Origins,242,4.32,Crooked Stave Artisan Beer Project,American Wild Ale,7.00%,mountain,39.7392,-104.9903,Denver,CO
242,Nightmare On Brett,584,4.39,Crooked Stave Artisan Beer Project,American Brett,9.66%,mountain,39.7392,-104.9903,Denver,CO
243,L'Brett D'Or - Dry Hopped,128,4.34,Crooked Stave Artisan Beer Project,American Wild Ale,5.00%,mountain,39.7392,-104.9903,Denver,CO
244,Persica,214,4.43,Crooked Stave Artisan Beer Project,American Wild Ale,6.00%,mountain,39.7392,-104.9903,Denver,CO
245,Nightmare On Brett - Cherry,100,4.34,Crooked Stave Artisan Beer Project,American Brett,9.66%,mountain,39.7392,-104.9903,Denver,CO
246,Origins,617,4.26,Crooked Stave Artisan Beer Project,American Wild Ale,6.50%,mountain,39.7392,-104.9903,Denver,CO
247,Crooked Stave / Omnipollo Bianca Raspberry Wild Wild Brett,52,4.38,Crooked Stave Artisan Beer Project,American Brett,6.00%,mountain,39.7392,-104.9903,Denver,CO
248,L'Brett D'Raspberry,105,4.27,Crooked Stave Artisan Beer Project,American Wild Ale,5.00%,mountain,39.7392,-104.9903,Denver,CO
249,Nightmare On Brett - Leopold Brothers Maryland Rye Whiskey,33,4.33,Crooked Stave Artisan Beer Project,American Brett,9.67%,mountain,39.7392,-104.9903,Denver,CO
250,Petite Sour - Blueberry,449,4.23,Crooked Stave Artisan Beer Project,American Wild Ale,4.50%,mountain,39.7392,-104.9903,Denver,CO
251,Serenata Notturna,230,4.23,Crooked Stave Artisan Beer Project,American Wild Ale,12.00%,mountain,39.7392,-104.9903,Denver,CO
252,Petite Sour With Hibiscus And Cinnamon,221,4.22,Crooked Stave Artisan Beer Project,American Wild Ale,6.00%,mountain,39.7392,-104.9903,Denver,CO
253,Rare DOS 1,45,4.47,Cycle Brewing,American Imperial Stout,Stout,south-atlantic,27.771034999999998,-82.640919,Saint Petersburg,FL
254,Cocodamia,27,4.59,Cycle Brewing,American Imperial Stout,Stout,south-atlantic,27.771034999999998,-82.640919,Saint Petersburg,FL
255,Rare Noa,46,4.51,Cycle Brewing,American Imperial Stout,Stout,south-atlantic,27.771034999999998,-82.640919,Saint Petersburg,FL
256,Rare DOS,410,4.44,Cycle Brewing,American Imperial Stout,10.00%,south-atlantic,27.771034999999998,-82.640919,Saint Petersburg,FL
257,RareR DOS,170,4.45,Cycle Brewing,American Imperial Stout,10.00%,south-atlantic,27.771034999999998,-82.640919,Saint Petersburg,FL
258,Bourbon Barrel Aged Plead The 5th,"3,299",4.53,Dark Horse Brewing Company,Russian Imperial Stout,12.00%,great-lakes,42.266212200000005,-84.96362909999998,Marshall,MI
259,The Abyss,"7,416",4.47,Deschutes Brewery,American Imperial Stout,11.40%,northwest,44.0582,-121.3153,Bend,OR
260,The Abyss (Brandy Barrel-Aged),249,4.28,Deschutes Brewery,American Imperial Stout,13.40%,northwest,44.0582,-121.3153,Bend,OR
261,Fresh Squeezed IPA,"5,407",4.25,Deschutes Brewery,American IPA,6.40%,northwest,44.0582,-121.3153,Bend,OR
262,Black Mirror,20,4.5,Deschutes Brewery,American Barleywine,13.00%,northwest,44.0582,-121.3153,Bend,OR
263,Stupid Good,48,4.55,Disgruntled Brewing,New England IPA,6.60%,midwest,46.5904023,-95.5589126,Perham,MN
264,World Wide Stout - Bourbon Barrel Aged,100,4.42,Dogfish Head Craft Brewery,American Imperial Stout,18.00%,mid-atlantic,38.7776,-75.3099,Milton,DE
265,Devil's Cuvee Kriek,28,4.44,Double Mountain Brewery & Taproom,Flanders Red Ale,9.50%,northwest,45.71001380000001,-121.51464109999999,Hood River,OR
266,Sarcosuchus Double IPA,30,4.33,Dragoon Brewing Co.,American Imperial IPA,10.50%,southwest,32.2491713,-111.00639199999999,Tucson,AZ
267,Downtown North Porter,31,4.22,Druid City Brewing Company,American Imperial Porter,9.10%,south,33.1999728,-87.54507819999998,Tuscaloosa,AL
268,Bligh's Barleywine Ale,559,4.36,Dry Dock Brewing Co.,British Barleywine,10.00%,mountain,39.6526645,-104.81204040000001,Aurora,CO
269,Signature Series Double Coffee Porter,78,4.3,Dry Dock Brewing Co.,American Imperial Porter,9.30%,mountain,39.6526645,-104.81204040000001,Aurora,CO
270,Double Barrel Big Bad Baptist,346,4.36,Epic Brewing Company,American Imperial Stout,12.80%,mountain,40.75115770000001,-111.8878131,Salt Lake City,UT
271,Big Bad Baptist,"3,978",4.36,Epic Brewing Company,American Imperial Stout,11.80%,mountain,40.75115770000001,-111.8878131,Salt Lake City,UT
272,Quadruple Barrel Big Bad Baptist,218,4.4,Epic Brewing Company,American Imperial Stout,12.50%,mountain,40.75115770000001,-111.8878131,Salt Lake City,UT
273,Triple Barrel Big Bad Baptist,418,4.42,Epic Brewing Company,American Imperial Stout,11.20%,mountain,40.75115770000001,-111.8878131,Salt Lake City,UT
274,Big Bad Baptista,735,4.41,Epic Brewing Company,American Imperial Stout,11.70%,mountain,40.75115770000001,-111.8878131,Salt Lake City,UT
275,Fluctuation,124,4.45,Equilibrium Brewery,New England IPA,8.10%,mid-atlantic,41.446372100000005,-74.42226240000001,Middletown,NY
276,dHop2,64,4.42,Equilibrium Brewery,American Imperial IPA,8.50%,mid-atlantic,41.446372100000005,-74.42226240000001,Middletown,NY
277,Dream Wave Fluctuation,26,4.54,Equilibrium Brewery,American Imperial IPA,8.10%,mid-atlantic,41.446372100000005,-74.42226240000001,Middletown,NY
278,mc²,273,4.38,Equilibrium Brewery,New England IPA,8.00%,mid-atlantic,41.446372100000005,-74.42226240000001,Middletown,NY
279,Baba Yaga,22,4.57,Ethereal Brewing,Russian Imperial Stout,13.10%,south,38.056422399999995,-84.51990900000001,Lexington,KY
280,Fad-tastic Vol. 1,13,4.3,Ethereal Brewing,New England IPA,7.10%,south,38.056422399999995,-84.51990900000001,Lexington,KY
281,Imperial Biscotti Break,"4,460",4.34,Evil Twin Brewing,American Imperial Stout,11.50%,mid-atlantic,40.7044,-73.9018,New York City,NY
282,Michigan Maple Jesus,453,4.37,Evil Twin Brewing,American Imperial Stout,12.00%,mid-atlantic,40.7044,-73.9018,New York City,NY
283,Some People Are Immune To Good Advice,57,4.43,Evil Twin Brewing,American Imperial Stout,10.70%,mid-atlantic,40.7044,-73.9018,New York City,NY
284,Double Barrel Jesus,802,4.5,Evil Twin Brewing,American Imperial Stout,12.00%,mid-atlantic,40.7044,-73.9018,New York City,NY
285,Imperial Biscotti Break - Bourbon Barrel-Aged,"1,657",4.51,Evil Twin Brewing,American Imperial Stout,11.50%,mid-atlantic,40.7044,-73.9018,New York City,NY
286,Fair State / Modern Times - Spirit Foul,73,4.37,Fair State Brewing Cooperative,New England IPA,6.30%,midwest,45.013565,-93.24756500000001,Minneapolis,MN
287,IBUsive,257,4.4,Fat Head's Brewery & Saloon,American Imperial IPA,8.00%,great-lakes,41.3776876,-81.82128900000001,Middleburg Heights,OH
288,Hop JuJu Imperial IPA,"2,298",4.46,Fat Head's Brewery & Saloon,American Imperial IPA,9.00%,great-lakes,41.3776876,-81.82128900000001,Middleburg Heights,OH
289,Super Juicy Hop JuJu,94,4.52,Fat Head's Brewery & Saloon,American Imperial IPA,9.00%,great-lakes,41.3776876,-81.82128900000001,Middleburg Heights,OH
290,Mastermind,"1,421",4.43,Fiddlehead Brewing Company,New England IPA,8.10%,new-england,44.3662006,-73.2326877,Shelburne,VT
291,Second Fiddle,"2,175",4.46,Fiddlehead Brewing Company,American Imperial IPA,8.20%,new-england,44.3662006,-73.2326877,Shelburne,VT
292,Imperial Eclipse Stout - Elijah Craig (12 Year),"2,003",4.46,FiftyFifty Brewing Co.,American Imperial Stout,11.90%,pacific,39.3218546,-120.1632682,Truckee,CA
293,Between The Dead,75,4.44,Finback Brewery,American Imperial Stout,10.00%,mid-atlantic,40.706663899999995,-73.87329240000001,New York City,NY
294,BQE - Barrel Aged,178,4.39,Finback Brewery,American Imperial Stout,10.00%,mid-atlantic,40.706663899999995,-73.87329240000001,New York City,NY
295,Stickee Monkee,"2,869",4.47,Firestone Walker Brewing Co.,Belgian Quadrupel (Quad),12.50%,pacific,35.6369,-120.6545,El Paso de Robles (Paso Robles),CA
296,§ucaba,"5,353",4.52,Firestone Walker Brewing Co.,British Barleywine,12.50%,pacific,35.6369,-120.6545,El Paso de Robles (Paso Robles),CA
297,Parabajava,875,4.54,Firestone Walker Brewing Co.,Russian Imperial Stout,14.00%,pacific,35.6369,-120.6545,El Paso de Robles (Paso Robles),CA
298,Parabola,"6,941",4.61,Firestone Walker Brewing Co.,Russian Imperial Stout,13.00%,pacific,35.6369,-120.6545,El Paso de Robles (Paso Robles),CA
299,Coconut Rye Parabola,120,4.42,Firestone Walker Brewing Co.,Russian Imperial Stout,12.20%,pacific,35.6369,-120.6545,El Paso de Robles (Paso Robles),CA
300,Bretta Rosé,969,4.4,Firestone Walker Brewing Co.,Berliner Weisse,5.30%,pacific,35.6369,-120.6545,El Paso de Robles (Paso Robles),CA
301,Wooden Hell,223,4.43,Flossmoor Station Restaurant & Brewery,British Barleywine,9.50%,great-lakes,41.543375299999994,-87.6786252,Flossmoor,IL
302,Barrel Aged Sexual Chocolate,"1,271",4.36,Foothills Brewing Company - Downtown Brewpub,Russian Imperial Stout,9.60%,south-atlantic,36.0455989,-80.3231878,Winston-Salem,NC
303,Breakfast Nook,21,4.69,Forager Brewing Company,American Imperial Porter,12.00%,midwest,44.0294487,-92.4782411,Rochester,MN
304,Nillerzzzzz,69,4.67,Forager Brewing Company,American Imperial Stout,14.00%,midwest,44.0294487,-92.4782411,Rochester,MN
305,Pudding Dribbles,24,4.61,Forager Brewing Company,American Imperial Porter,11.30%,midwest,44.0294487,-92.4782411,Rochester,MN
306,Epiphany,"1,157",4.44,Foundation Brewing Company,New England IPA,8.00%,new-england,43.702951500000005,-70.3201061,Portland,ME
307,Backwoods Bastard,"8,638",4.35,Founders Brewing Company,Scotch Ale / Wee Heavy,11.20%,great-lakes,42.9583924,-85.67463190000001,Grand Rapids,MI
308,KBS (Kentucky Breakfast Stout),"13,630",4.6,Founders Brewing Company,American Imperial Stout,12.30%,great-lakes,42.9583924,-85.67463190000001,Grand Rapids,MI
309,Underground Mountain Brown,66,4.54,Founders Brewing Company,American Brown Ale,11.80%,great-lakes,42.9583924,-85.67463190000001,Grand Rapids,MI
310,CBS (Canadian Breakfast Stout),"6,091",4.65,Founders Brewing Company,American Imperial Stout,11.70%,great-lakes,42.9583924,-85.67463190000001,Grand Rapids,MI
311,Mothership Series #5: Barrel-Aged Imperial Stout,108,4.49,Founders Brewing Company,Russian Imperial Stout,12.80%,great-lakes,42.9583924,-85.67463190000001,Grand Rapids,MI
312,Imperial Stout,"7,948",4.36,Founders Brewing Company,Russian Imperial Stout,10.50%,great-lakes,42.9583924,-85.67463190000001,Grand Rapids,MI
313,Breakfast Stout,"17,411",4.51,Founders Brewing Company,American Imperial Stout,8.30%,great-lakes,42.9583924,-85.67463190000001,Grand Rapids,MI
314,Mothership Series #4: Panther Cub Barrel-Aged Porter,139,4.46,Founders Brewing Company,American Imperial Porter,8.70%,great-lakes,42.9583924,-85.67463190000001,Grand Rapids,MI
315,Raspberry Ananke,125,4.29,Freetail Brewing Company,American Wild Ale,6.80%,southwest,29.4241,-98.4936,San Antonio,TX
316,Ananke,237,4.23,Freetail Brewing Company,American Wild Ale,5.80%,southwest,29.4241,-98.4936,San Antonio,TX
317,Woodicus,98,4.24,Freetail Brewing Company,American Wild Ale,7.60%,southwest,29.4241,-98.4936,San Antonio,TX
318,Peche'cus,109,4.3,Freetail Brewing Company,American Wild Ale,8.20%,southwest,29.4241,-98.4936,San Antonio,TX
319,B-Bomb (Bourbon Abominable Winter Ale),"1,261",4.43,Fremont Brewing Company,American Strong Ale,14.00%,northwest,47.6490624,-122.34444199999999,Seattle,WA
320,Bourbon Barrel Aged Dark Star,736,4.46,Fremont Brewing Company,English Oatmeal Stout,14.00%,northwest,47.6490624,-122.34444199999999,Seattle,WA
321,The Rusty Nail,574,4.56,Fremont Brewing Company,English Oatmeal Stout,14.50%,northwest,47.6490624,-122.34444199999999,Seattle,WA
322,Bourbon Barrel Aged Dark Star: Coffee Edition,797,4.52,Fremont Brewing Company,English Oatmeal Stout,13.10%,northwest,47.6490624,-122.34444199999999,Seattle,WA
323,Coffee Cinnamon B-Bomb,988,4.56,Fremont Brewing Company,American Strong Ale,13.00%,northwest,47.6490624,-122.34444199999999,Seattle,WA
324,Brew 3000,58,4.5,Fremont Brewing Company,British Barleywine,13.20%,northwest,47.6490624,-122.34444199999999,Seattle,WA
325,Coconut B-Bomb,228,4.51,Fremont Brewing Company,American Strong Ale,13.00%,northwest,47.6490624,-122.34444199999999,Seattle,WA
326,Bourbon Barrel Aged Dark Star: Spice Wars,319,4.37,Fremont Brewing Company,English Oatmeal Stout,14.50%,northwest,47.6490624,-122.34444199999999,Seattle,WA
327,Cowiche Canyon Organic Fresh Hop Ale,297,4.39,Fremont Brewing Company,American Pale Ale (APA),6.00%,northwest,47.6490624,-122.34444199999999,Seattle,WA
328,Frampaars,130,4.5,Funk Factory Geuzeria,American Wild Ale,6.00%,great-lakes,43.050053399999996,-89.39208620000001,Madison,WI
329,Vanilla Espresso Piiti Porter,41,4.48,Funky Buddha Brewery,American Porter,6.30%,south-atlantic,26.174327899999998,-80.13124979999998,Oakland Park,FL
330,The Love Below,190,4.38,Funky Buddha Brewery,Russian Imperial Stout,12.00%,south-atlantic,26.174327899999998,-80.13124979999998,Oakland Park,FL
331,Wide Awake It's Morning,966,4.53,Funky Buddha Brewery,American Imperial Porter,10.00%,south-atlantic,26.174327899999998,-80.13124979999998,Oakland Park,FL
332,Last Snow,"2,096",4.47,Funky Buddha Brewery,American Porter,6.40%,south-atlantic,26.174327899999998,-80.13124979999998,Oakland Park,FL
333,Last Buffalo In The Park,832,4.55,Funky Buddha Brewery,American Imperial Porter,11.50%,south-atlantic,26.174327899999998,-80.13124979999998,Oakland Park,FL
334,Veruca Snozzberry Gose,107,4.44,Funky Buddha Brewery,Leipzig Gose,5.20%,south-atlantic,26.174327899999998,-80.13124979999998,Oakland Park,FL
335,Maple Bacon Coffee Porter,"2,142",4.47,Funky Buddha Brewery,American Porter,6.40%,south-atlantic,26.174327899999998,-80.13124979999998,Oakland Park,FL
336,Morning Wood,"1,160",4.64,Funky Buddha Brewery,American Imperial Porter,12.00%,south-atlantic,26.174327899999998,-80.13124979999998,Oakland Park,FL
337,Big DIPA,15,4.28,Gnarly Barley Brewing Company,American Imperial IPA,8.20%,south,30.49697269999999,-90.4790808,Hammond,LA
338,Jucifer,121,4.25,Gnarly Barley Brewing Company,New England IPA,6.00%,south,30.49697269999999,-90.4790808,Hammond,LA
339,Korova Milk Porter With Peanut Butter,41,4.24,Gnarly Barley Brewing Company,American Porter,6.20%,south,30.49697269999999,-90.4790808,Hammond,LA
340,El Gordo (Barrel Aged),30,4.36,Good People Brewing Company,Russian Imperial Stout,13.90%,south,33.5069731,-86.81218790000001,Birmingham,AL
341,Snake Handler Double IPA,604,4.24,Good People Brewing Company,American Imperial IPA,10.00%,south,33.5069731,-86.81218790000001,Birmingham,AL
342,Hitchhiker,117,4.31,Good People Brewing Company,American IPA,7.40%,south,33.5069731,-86.81218790000001,Birmingham,AL
343,Fatso,85,4.18,Good People Brewing Company,Russian Imperial Stout,8.50%,south,33.5069731,-86.81218790000001,Birmingham,AL
344,El Gordo,130,4.48,Good People Brewing Company,Russian Imperial Stout,13.90%,south,33.5069731,-86.81218790000001,Birmingham,AL
345,Bourbon County Brand Vanilla Stout,"1,796",4.6,Goose Island Beer Co.,American Imperial Stout,14.90%,great-lakes,41.887133,-87.672134,Chicago,IL
346,Bourbon County Brand Barleywine Ale,"5,469",4.51,Goose Island Beer Co.,British Barleywine,14.40%,great-lakes,41.887133,-87.672134,Chicago,IL
347,Proprietor's Bourbon County Brand Stout (2018),93,4.52,Goose Island Beer Co.,American Imperial Stout,14.40%,great-lakes,41.887133,-87.672134,Chicago,IL
348,Bourbon County Brand Coffee Stout,"7,404",4.67,Goose Island Beer Co.,American Imperial Stout,12.90%,great-lakes,41.887133,-87.672134,Chicago,IL
349,Double Barrel Bourbon County Brand Stout,29,4.6,Goose Island Beer Co.,American Imperial Stout,17.20%,great-lakes,41.887133,-87.672134,Chicago,IL
350,Bourbon County Brand Bramble Rye Stout,"1,133",4.35,Goose Island Beer Co.,American Imperial Stout,12.70%,great-lakes,41.887133,-87.672134,Chicago,IL
351,Bourbon County Brand Reserve Stout (2018),93,4.54,Goose Island Beer Co.,American Imperial Stout,15.20%,great-lakes,41.887133,-87.672134,Chicago,IL
352,Bourbon County Brand Stout,"12,932",4.6,Goose Island Beer Co.,American Imperial Stout,15.20%,great-lakes,41.887133,-87.672134,Chicago,IL
353,Old Ruffian,"2,496",4.2,Great Divide Brewing Company,American Barleywine,10.20%,mountain,39.7392,-104.9903,Denver,CO
354,Oak Aged Yeti Imperial Stout,"4,633",4.25,Great Divide Brewing Company,American Imperial Stout,9.50%,mountain,39.7392,-104.9903,Denver,CO
355,Espresso Oak Aged Yeti Imperial Stout,"3,789",4.27,Great Divide Brewing Company,American Imperial Stout,9.50%,mountain,39.7392,-104.9903,Denver,CO
356,Yeti,"5,661",4.21,Great Divide Brewing Company,American Imperial Stout,9.50%,mountain,39.7392,-104.9903,Denver,CO
357,Yeti - Barrel-Aged,917,4.31,Great Divide Brewing Company,American Imperial Stout,12.50%,mountain,39.7392,-104.9903,Denver,CO
358,Chocolate Oak Aged Yeti,"3,124",4.22,Great Divide Brewing Company,American Imperial Stout,9.50%,mountain,39.7392,-104.9903,Denver,CO
359,Barrel-Aged Blackout Stout,"1,845",4.35,Great Lakes Brewing Co.,Russian Imperial Stout,9.50%,great-lakes,41.4843807,-81.70451870000001,Cleveland,OH
360,Juice Jr.,167,4.36,Great Notion Brewing,New England IPA,6.00%,northwest,45.558890399999996,-122.64267040000001,Portland,OR
361,Ripe IPA,134,4.32,Great Notion Brewing,New England IPA,6.00%,northwest,45.558890399999996,-122.64267040000001,Portland,OR
362,Double Stack,564,4.52,Great Notion Brewing,American Imperial Stout,11.00%,northwest,45.558890399999996,-122.64267040000001,Portland,OR
363,Space Invader,67,4.35,Great Notion Brewing,New England IPA,7.00%,northwest,45.558890399999996,-122.64267040000001,Portland,OR
364,Blueberry Pancakes,22,4.44,Great Notion Brewing,American Imperial Stout,8.00%,northwest,45.558890399999996,-122.64267040000001,Portland,OR
365,Juice Box,215,4.45,Great Notion Brewing,New England IPA,8.20%,northwest,45.558890399999996,-122.64267040000001,Portland,OR
366,Super Ripe,41,4.41,Great Notion Brewing,American Imperial IPA,9.50%,northwest,45.558890399999996,-122.64267040000001,Portland,OR
367,Super Over Ripe,14,4.65,Great Notion Brewing,American Imperial IPA,11.00%,northwest,45.558890399999996,-122.64267040000001,Portland,OR
368,Over-Ripe,29,4.43,Great Notion Brewing,New England IPA,6.00%,northwest,45.558890399999996,-122.64267040000001,Portland,OR
369,Blueberry Muffin,201,4.42,Great Notion Brewing,Berliner Weisse,5.50%,northwest,45.558890399999996,-122.64267040000001,Portland,OR
370,At Arm's Length,52,4.17,Great Raft Brewing,American Lager,6.00%,south,32.48858619999999,-93.75612650000001,Shreveport,LA
371,Grace And Grit,156,4.24,Great Raft Brewing,American Imperial IPA,8.00%,south,32.48858619999999,-93.75612650000001,Shreveport,LA
372,Oceans Between Us,38,4.25,Great Raft Brewing,American IPA,7.00%,south,32.48858619999999,-93.75612650000001,Shreveport,LA
