,Beer,Total_Votes,Rating,Brewery,Beer_Style,ABV,Region,Latitude,Longitude
429,Haze,"2,859",4.57,Tree House Brewing Company,New England IPA,8.20%,new-england,42.13659120000001,-72.0123365
430,Sip Of Sunshine,"5,673",4.56,Lawson's Finest Liquids,American Imperial IPA,8.00%,new-england,44.187807,-72.8351806
431,Permutation #109: Perm 52 + Perm 57,39,4.72,Trillium Brewing Company,American Imperial Stout,12.40%,new-england,42.35217220000001,-71.04736729999999
432,Galaxy Dry Hopped Fort Point Pale Ale,"1,714",4.56,Trillium Brewing Company,American Pale Ale (APA),6.60%,new-england,42.35217220000001,-71.04736729999999
433,Ephraim,"1,076",4.56,Hill Farmstead Brewery,New England IPA,10.00%,new-england,44.6066677,-72.26340929999999
434,Moment Of Clarity,357,4.57,Tree House Brewing Company,English Sweet / Milk Stout,7.70%,new-england,42.13659120000001,-72.0123365
435,Alter Ego,"2,449",4.55,Tree House Brewing Company,New England IPA,6.80%,new-england,42.13659120000001,-72.0123365
436,Beyond Good And Evil,678,4.55,Hill Farmstead Brewery,American Imperial Stout,Stout,new-england,44.6066677,-72.26340929999999
437,Scaled Way Up,503,4.55,Trillium Brewing Company,New England IPA,8.00%,new-england,42.35217220000001,-71.04736729999999
438,Society & Solitude #5,"1,566",4.54,Hill Farmstead Brewery,New England IPA,8.10%,new-england,44.6066677,-72.26340929999999
439,Hold On To Sunshine,426,4.55,Tree House Brewing Company,English Sweet / Milk Stout,7.60%,new-england,42.13659120000001,-72.0123365
440,Double Shot,"1,060",4.54,Tree House Brewing Company,American Stout,7.60%,new-england,42.13659120000001,-72.0123365
441,Double Nelson,331,4.55,Hill Farmstead Brewery,New England IPA,8.00%,new-england,44.6066677,-72.26340929999999
442,Cutting Tiles (Mosaic),"1,327",4.53,Trillium Brewing Company,New England IPA,8.50%,new-england,42.35217220000001,-71.04736729999999
443,Permutation Series #57: Imperial Stout w/ Coconut & Vanilla,109,4.58,Trillium Brewing Company,American Imperial Stout,13.20%,new-england,42.35217220000001,-71.04736729999999
444,In Perpetuity,"1,000",4.53,Tree House Brewing Company,New England IPA,6.70%,new-england,42.13659120000001,-72.0123365
445,I Will Not Be Afraid,103,4.58,Tree House Brewing Company,English Sweet / Milk Stout,9.30%,new-england,42.13659120000001,-72.0123365
446,Society & Solitude #6,942,4.52,Hill Farmstead Brewery,New England IPA,8.10%,new-england,44.6066677,-72.26340929999999
447,"Somewhere, Something Incredible Is Waiting To Be Known",328,4.53,Tree House Brewing Company,English Sweet / Milk Stout,7.90%,new-england,42.13659120000001,-72.0123365
448,Trillium / Monkish - Insert Hip Hop Reference There,87,4.58,Trillium Brewing Company,New England IPA,10.00%,new-england,42.35217220000001,-71.04736729999999
449,Miles To Go Before I Sleep,108,4.56,Tree House Brewing Company,English Sweet / Milk Stout,9.10%,new-england,42.13659120000001,-72.0123365
450,Melcher Street (Double Dry-Hopped),"1,291",4.51,Trillium Brewing Company,New England IPA,7.20%,new-england,42.35217220000001,-71.04736729999999
451,Mosaic Dry Hopped Fort Point,"1,237",4.51,Trillium Brewing Company,American Pale Ale (APA),6.60%,new-england,42.35217220000001,-71.04736729999999
452,Upper Case,971,4.51,Trillium Brewing Company,New England IPA,9.00%,new-england,42.35217220000001,-71.04736729999999
453,Dorothy (Wine Barrel Aged),217,4.53,Hill Farmstead Brewery,Belgian Saison,7.00%,new-england,44.6066677,-72.26340929999999
454,Impermanence,332,4.52,Tree House Brewing Company,English Sweet / Milk Stout,9.00%,new-england,42.13659120000001,-72.0123365
455,Genealogy Of Morals - Bourbon Barrel-Aged,657,4.51,Hill Farmstead Brewery,American Imperial Stout,10.70%,new-england,44.6066677,-72.26340929999999
456,Cutting Tiles (Galaxy),560,4.51,Trillium Brewing Company,New England IPA,8.50%,new-england,42.35217220000001,-71.04736729999999
457,Everett Porter,"2,781",4.5,Hill Farmstead Brewery,American Porter,7.50%,new-england,44.6066677,-72.26340929999999
458,Congress Street IPA,"2,334",4.5,Trillium Brewing Company,New England IPA,7.20%,new-england,42.35217220000001,-71.04736729999999
459,Susan,"2,001",4.5,Hill Farmstead Brewery,New England IPA,6.20%,new-england,44.6066677,-72.26340929999999
460,Heavy Mettle,"1,171",4.5,Trillium Brewing Company,New England IPA,9.30%,new-england,42.35217220000001,-71.04736729999999
461,All That Is And All That Ever Will Be,329,4.51,Tree House Brewing Company,English Sweet / Milk Stout,6.50%,new-england,42.13659120000001,-72.0123365
462,Art,497,4.5,Hill Farmstead Brewery,Belgian Saison,6.50%,new-england,44.6066677,-72.26340929999999
463,Coconut PM Dawn,93,4.54,Trillium Brewing Company,American Imperial Stout,9.00%,new-england,42.35217220000001,-71.04736729999999
464,Crusher,"2,224",4.48,The Alchemist,New England IPA,8.00%,new-england,44.4654,-72.6874
465,Flora - Blueberry,247,4.5,Hill Farmstead Brewery,Belgian Saison,Saison,new-england,44.6066677,-72.26340929999999
466,Damon (Bourbon Barrel Aged),781,4.48,Hill Farmstead Brewery,Russian Imperial Stout,10.50%,new-england,44.6066677,-72.26340929999999
467,Coolship Red,705,4.48,Allagash Brewing Company,Belgian Fruit Lambic,5.70%,new-england,43.7031477,-70.3176931
468,Juicy,687,4.48,Hill Farmstead Brewery,Belgian Saison,7.40%,new-england,44.6066677,-72.26340929999999
469,Locust Reign,371,4.48,New England Brewing Co.,New England IPA,8.20%,new-england,41.3392264,-72.9795895
470,Fuzzy Baby Ducks,"1,053",4.47,New England Brewing Co.,New England IPA,6.20%,new-england,41.3392264,-72.9795895
471,Double Shot - Oreo,29,4.65,Tree House Brewing Company,American Imperial Stout,9.20%,new-england,42.13659120000001,-72.0123365
472,Double Shot - 6th Anniversary Blend,53,4.56,Tree House Brewing Company,American Imperial Stout,9.20%,new-england,42.13659120000001,-72.0123365
473,Samuel Adams Utopias,"2,673",4.46,Boston Beer Company (Samuel Adams),American Strong Ale,28.00%,new-england,42.3146488,-71.1029118
474,Fort Point Pale Ale,"2,187",4.46,Trillium Brewing Company,American Pale Ale (APA),6.60%,new-england,42.35217220000001,-71.04736729999999
475,Second Fiddle,"2,175",4.46,Fiddlehead Brewing Company,American Imperial IPA,8.20%,new-england,44.3662006,-73.2326877
476,Birth Of Tragedy,"1,270",4.46,Hill Farmstead Brewery,American Imperial Porter,9.00%,new-england,44.6066677,-72.26340929999999
477,Double Dry Hopped Sleeper Street,"1,065",4.46,Trillium Brewing Company,New England IPA,7.20%,new-england,42.35217220000001,-71.04736729999999
478,Flora,770,4.46,Hill Farmstead Brewery,Belgian Saison,4.80%,new-england,44.6066677,-72.26340929999999
479,Triple Shot - Batch 1000,42,4.58,Tree House Brewing Company,American Imperial Stout,10.10%,new-england,42.13659120000001,-72.0123365
480,The Chosen One (Double Dry-Hopped),21,4.7,Tilted Barn Brewery,New England IPA,8.50%,new-england,41.5695259,-71.5238619
481,The Chosen One,123,4.49,Tilted Barn Brewery,New England IPA,8.50%,new-england,41.5695259,-71.5238619
482,Vicinity,"1,710",4.45,Trillium Brewing Company,New England IPA,8.00%,new-england,42.35217220000001,-71.04736729999999
483,Mosaic IPA,358,4.46,Hill Farmstead Brewery,New England IPA,6.00%,new-england,44.6066677,-72.26340929999999
484,Scaled Up,922,4.45,Trillium Brewing Company,New England IPA,8.00%,new-england,42.35217220000001,-71.04736729999999
485,Double Shot - Vanilla Bean,114,4.49,Tree House Brewing Company,American Imperial Stout,9.20%,new-england,42.13659120000001,-72.0123365
486,Florence Puncheon,54,4.54,Hill Farmstead Brewery,Belgian Saison,Saison,new-england,44.6066677,-72.26340929999999
487,Pow Pow,240,4.46,Trillium Brewing Company,New England IPA,8.50%,new-england,42.35217220000001,-71.04736729999999
488,Epiphany,"1,157",4.44,Foundation Brewing Company,New England IPA,8.00%,new-england,43.7029515,-70.3201061
489,Human Condition,199,4.46,Tree House Brewing Company,English Sweet / Milk Stout,7.90%,new-england,42.13659120000001,-72.0123365
490,Dialed In (w/ Sauvignon Blanc Juice),787,4.44,Trillium Brewing Company,American Imperial IPA,8.50%,new-england,42.35217220000001,-71.04736729999999
491,AAAlterrr Ego,294,4.45,Tree House Brewing Company,New England IPA,6.80%,new-england,42.13659120000001,-72.0123365
492,Single Shot - Vanilla Bean,274,4.45,Tree House Brewing Company,English Sweet / Milk Stout,6.40%,new-england,42.13659120000001,-72.0123365
493,Double Shot - Guatemala El Socorro Maracaturra,57,4.52,Tree House Brewing Company,American Imperial Stout,9.60%,new-england,42.13659120000001,-72.0123365
494,Curiosity Fifty Nine,57,4.52,Tree House Brewing Company,American Imperial IPA,8.20%,new-england,42.13659120000001,-72.0123365
495,Peanut Butter PM Dawn,167,4.46,Trillium Brewing Company,American Imperial Stout,10.10%,new-england,42.35217220000001,-71.04736729999999
496,Edward,"2,829",4.43,Hill Farmstead Brewery,American Pale Ale (APA),5.20%,new-england,44.6066677,-72.26340929999999
497,Mastermind,"1,421",4.43,Fiddlehead Brewing Company,New England IPA,8.10%,new-england,44.3662006,-73.2326877
498,Nothing Gold,369,4.44,Bissell Brothers Brewing Co.,New England IPA,8.20%,new-england,43.6514239,-70.290559
499,Double Shot - Marshmallow,20,4.68,Tree House Brewing Company,American Imperial Stout,9.60%,new-england,42.13659120000001,-72.0123365
500,Nectarine Premiere,335,4.64,de Garde Brewing,Belgian Saison,7.10%,northwest,45.4572866,-123.8453827
501,The Broken Truck,294,4.6,de Garde Brewing,American Wild Ale,5.00%,northwest,45.4572866,-123.8453827
502,Coffee Cinnamon B-Bomb,988,4.56,Fremont Brewing Company,American Strong Ale,13.00%,northwest,47.6490624,-122.344442
503,The Peach,255,4.58,de Garde Brewing,American Wild Ale,7.30%,northwest,45.4572866,-123.8453827
504,The Rusty Nail,574,4.56,Fremont Brewing Company,English Oatmeal Stout,14.50%,northwest,47.6490624,-122.344442
505,Notorious Triple IPA,847,4.54,Boneyard Beer Company,American Imperial IPA,12.00%,northwest,44.05398,-121.3080801
506,A Deal With The Devil,"1,085",4.53,Anchorage Brewing Company,American Barleywine,17.30%,northwest,61.138793,-149.8821545
507,Bourbon Barrel Aged Dark Star: Coffee Edition,797,4.52,Fremont Brewing Company,English Oatmeal Stout,13.10%,northwest,47.6490624,-122.344442
508,Double Stack,564,4.52,Great Notion Brewing,American Imperial Stout,11.00%,northwest,45.5588904,-122.6426704
509,Coconut B-Bomb,228,4.51,Fremont Brewing Company,American Strong Ale,13.00%,northwest,47.6490624,-122.344442
510,The Abyss,"7,416",4.47,Deschutes Brewery,American Imperial Stout,11.40%,northwest,44.0582,-121.3153
511,Midnight Still,141,4.51,Holy Mountain Brewing Company,American Imperial Stout,12.50%,northwest,47.63080799999999,-122.3745171
512,Adam From The Wood,"1,010",4.47,Hair Of The Dog Brewing Company / Brewery And Tasting Room,English Old Ale,12.00%,northwest,45.515904,-122.6656431
513,The Lily,192,4.49,de Garde Brewing,American Wild Ale,7.00%,northwest,45.4572866,-123.8453827
514,Bourbon Barrel Aged Dark Star,736,4.46,Fremont Brewing Company,English Oatmeal Stout,14.00%,northwest,47.6490624,-122.344442
515,Mother Of All Storms,"2,075",4.45,Pelican Pub & Brewery,British Barleywine,14.00%,northwest,45.215229,-123.970382
516,Sang Noir,"1,812",4.45,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,9.30%,northwest,45.485799,-122.754126
517,Peche 'n Brett,"1,419",4.44,Logsdon Farmhouse Ales,Belgian Saison,10.00%,northwest,45.578261,-122.3519432
518,Matt,889,4.44,Hair Of The Dog Brewing Company / Brewery And Tasting Room,American Strong Ale,11.50%,northwest,45.515904,-122.6656431
519,B-Bomb (Bourbon Abominable Winter Ale),"1,261",4.43,Fremont Brewing Company,American Strong Ale,14.00%,northwest,47.6490624,-122.344442
520,Hop Venom Double IPA,"1,001",4.43,Boneyard Beer Company,American Imperial IPA,8.90%,northwest,44.05398,-121.3080801
521,Juice Box,215,4.45,Great Notion Brewing,New England IPA,8.20%,northwest,45.5588904,-122.6426704
522,The Lucy,155,4.46,de Garde Brewing,American Wild Ale,8.00%,northwest,45.4572866,-123.8453827
523,Brew 3000,58,4.5,Fremont Brewing Company,British Barleywine,13.20%,northwest,47.6490624,-122.344442
524,Turbulent Consequence: Peche,116,4.45,Block 15 Brewery & Restaurant,American Wild Ale,6.25%,northwest,44.5302722,-123.2691108
525,Blueberry Muffin,201,4.42,Great Notion Brewing,Berliner Weisse,5.50%,northwest,45.5588904,-122.6426704
526,de Garde / SARA / Jester King - Elements Of Composition,57,4.49,de Garde Brewing,American Wild Ale,6.20%,northwest,45.4572866,-123.8453827
527,Cascade Noyaux,970,4.39,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,8.50%,northwest,45.485799,-122.754126
528,Special Rouge,197,4.41,de Garde Brewing,American Wild Ale,6.40%,northwest,45.4572866,-123.8453827
529,Framiscus,67,4.46,de Garde Brewing,American Wild Ale,6.20%,northwest,45.4572866,-123.8453827
530,The Archer,170,4.41,de Garde Brewing,American Wild Ale,7.00%,northwest,45.4572866,-123.8453827
531,Golden Canary,123,4.42,Block 15 Brewery & Restaurant,American Wild Ale,7.25%,northwest,44.5302722,-123.2691108
532,Cascade Sang Royal,935,4.38,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,9.35%,northwest,45.485799,-122.754126
533,Cowiche Canyon Organic Fresh Hop Ale,297,4.39,Fremont Brewing Company,American Pale Ale (APA),6.00%,northwest,47.6490624,-122.344442
534,Fantasia,513,4.38,Upright Brewing Company,American Wild Ale,5.75%,northwest,45.534746,-122.6684662
535,Hose,382,4.38,de Garde Brewing,Leipzig Gose,4.00%,northwest,45.4572866,-123.8453827
536,Special Herbs (Seasonal),198,4.39,Upright Brewing Company,Scottish Gruit / Ancient Herbed Ale,5.70%,northwest,45.534746,-122.6684662
537,Citra Hose,135,4.4,de Garde Brewing,Leipzig Gose,4.00%,northwest,45.4572866,-123.8453827
538,Nelson Hose,180,4.39,de Garde Brewing,Leipzig Gose,5.00%,northwest,45.4572866,-123.8453827
539,Midnight Still (Hazelnut/Cacao),12,4.8,Holy Mountain Brewing Company,American Imperial Stout,13.00%,northwest,47.63080799999999,-122.3745171
540,Arctic Devil Barley Wine,"1,377",4.36,Midnight Sun Brewing Co.,British Barleywine,13.20%,northwest,61.1472309,-149.8445081
541,Bourbon Barrel Aged Dark Star: Spice Wars,319,4.37,Fremont Brewing Company,English Oatmeal Stout,14.50%,northwest,47.6490624,-122.344442
542,Sahalie,477,4.36,The Ale Apothecary,American Wild Ale,9.83%,northwest,44.05128190000001,-121.3311038
543,Kentucky Peach,64,4.43,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,8.30%,northwest,45.485799,-122.754126
544,The Truffle,51,4.45,de Garde Brewing,American Wild Ale,5.00%,northwest,45.4572866,-123.8453827
545,Great Grandfather Raven,36,4.49,Black Raven Brewing Co.,American Imperial Stout,11.70%,northwest,47.6856209,-122.1445301
546,Apricot Ale,"1,792",4.34,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,8.50%,northwest,45.485799,-122.754126
547,Misère Au Borinage,68,4.41,Holy Mountain Brewing Company,Belgian Saison,4.80%,northwest,47.63080799999999,-122.3745171
548,Clarette,40,4.46,Holy Mountain Brewing Company,American Wild Ale,ld Ale,northwest,47.63080799999999,-122.3745171
549,The Duo,51,4.43,de Garde Brewing,American Wild Ale,6.00%,northwest,45.4572866,-123.8453827
550,Juice Jr.,167,4.36,Great Notion Brewing,New England IPA,6.00%,northwest,45.5588904,-122.6426704
551,Sticky Hands,454,4.34,Block 15 Brewery & Restaurant,American Imperial IPA,8.10%,northwest,44.5302722,-123.2691108
552,Intergalactic Hop Shop,60,4.41,Block 15 Brewery & Restaurant,New England IPA,7.75%,northwest,44.5302722,-123.2691108
553,Berserker Imperial Stout,"1,207",4.33,Midnight Sun Brewing Co.,American Imperial Stout,12.70%,northwest,61.1472309,-149.8445081
554,Cherry Adam From The Wood,872,4.33,Hair Of The Dog Brewing Company / Brewery And Tasting Room,English Old Ale,13.50%,northwest,45.515904,-122.6656431
555,The Orchard,24,4.53,de Garde Brewing,American Wild Ale,6.40%,northwest,45.4572866,-123.8453827
556,The Boysenberry,88,4.38,de Garde Brewing,American Wild Ale,7.00%,northwest,45.4572866,-123.8453827
557,Sticky Hands- Tropical Slam,37,4.45,Block 15 Brewery & Restaurant,American Imperial IPA,8.25%,northwest,44.5302722,-123.2691108
558,Sahalie Fresh Hop,22,4.54,The Ale Apothecary,American Wild Ale,8.79%,northwest,44.05128190000001,-121.3311038
559,Citra Bitter Monk,"1,053",4.32,Anchorage Brewing Company,Belgian IPA,9.00%,northwest,61.138793,-149.8821545
560,Tank Slapper DIPA,51,4.41,Barley Brown's Brewpub,American Imperial IPA,9.00%,northwest,44.7787862,-117.8294735
561,RPM IPA,929,4.32,Boneyard Beer Company,American IPA,7.50%,northwest,44.05398,-121.3080801
562,Super Over Ripe,14,4.65,Great Notion Brewing,American Imperial IPA,11.00%,northwest,45.5588904,-122.6426704
563,Astral Projection,48,4.4,Holy Mountain Brewing Company,New England IPA,9.20%,northwest,47.63080799999999,-122.3745171
564,Super Ripe,41,4.41,Great Notion Brewing,American Imperial IPA,9.50%,northwest,45.5588904,-122.6426704
565,Roseberry,73,4.36,de Garde Brewing,American Wild Ale,6.20%,northwest,45.4572866,-123.8453827
566,Special Violet,55,4.38,de Garde Brewing,American Wild Ale,6.40%,northwest,45.4572866,-123.8453827
567,Sloth - Belgian-Style Imperial Stout,129,4.33,Midnight Sun Brewing Co.,Russian Imperial Stout,10.20%,northwest,61.1472309,-149.8445081
568,Pallet Jack IPA,242,4.31,Barley Brown's Brewpub,American IPA,7.20%,northwest,44.7787862,-117.8294735
569,Chaos,38,4.41,Barley Brown's Brewpub,American Black Ale,10.30%,northwest,44.7787862,-117.8294735
570,The Kriek,44,4.39,de Garde Brewing,American Wild Ale,7.00%,northwest,45.4572866,-123.8453827
571,Ripe IPA,134,4.32,Great Notion Brewing,New England IPA,6.00%,northwest,45.5588904,-122.6426704
572,Spencer,39,4.4,The Ale Apothecary,American Wild Ale,10.70%,northwest,44.05128190000001,-121.3311038
573,Space Invader,67,4.35,Great Notion Brewing,New England IPA,7.00%,northwest,45.5588904,-122.6426704
574,Lee Kriek,95,4.33,de Garde Brewing,American Wild Ale,8.40%,northwest,45.4572866,-123.8453827
575,Devil's Cuvee Kriek,28,4.44,Double Mountain Brewery & Taproom,Flanders Red Ale,9.50%,northwest,45.71001380000001,-121.5146411
576,More Is More Triple IPA,26,4.45,Anchorage Brewing Company,American Imperial IPA,9.00%,northwest,61.138793,-149.8821545
577,Black Mirror,20,4.5,Deschutes Brewery,American Barleywine,13.00%,northwest,44.0582,-121.3153
578,The Bluest,29,4.43,de Garde Brewing,American Wild Ale,7.00%,northwest,45.4572866,-123.8453827
579,Over-Ripe,29,4.43,Great Notion Brewing,New England IPA,6.00%,northwest,45.5588904,-122.6426704
580,The Vigne,27,4.44,de Garde Brewing,American Wild Ale,7.00%,northwest,45.4572866,-123.8453827
581,Armored Fist Double CDA,222,4.29,Boneyard Beer Company,American Black Ale,10.00%,northwest,44.05398,-121.3080801
582,Bar Fly (Bourbon Barrel Aged),200,4.29,Midnight Sun Brewing Co.,American Imperial Stout,11.60%,northwest,61.1472309,-149.8445081
583,Four Play,194,4.29,Upright Brewing Company,Belgian Saison,5.00%,northwest,45.534746,-122.6684662
584,Seizoen Bretta,"1,542",4.27,Logsdon Farmhouse Ales,Belgian Saison,8.00%,northwest,45.578261,-122.3519432
585,Cascade Vlad The Imp Aler,738,4.27,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,12.30%,northwest,45.485799,-122.754126
586,The Beer Formerly Known As (TBFKA) La Tache,272,4.28,The Ale Apothecary,American Wild Ale,8.50%,northwest,44.05128190000001,-121.3311038
587,The Abyss (Brandy Barrel-Aged),249,4.28,Deschutes Brewery,American Imperial Stout,13.40%,northwest,44.0582,-121.3153
588,Sahati,147,4.29,The Ale Apothecary,Finnish Sahti,10.50%,northwest,44.05128190000001,-121.3311038
589,Diesel Imperial Stout,62,4.33,Cascade Brewing / Raccoon Lodge & Brewpub,American Imperial Stout,8.80%,northwest,45.485799,-122.754126
590,Old Birdbrain,103,4.3,Black Raven Brewing Co.,American Barleywine,11.50%,northwest,47.6856209,-122.1445301
591,Adam,"2,550",4.26,Hair Of The Dog Brewing Company / Brewery And Tasting Room,English Old Ale,10.00%,northwest,45.515904,-122.6656431
592,Manhattan NW,358,4.27,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,10.30%,northwest,45.485799,-122.754126
593,Blimey That's Bitter!,100,4.3,Reuben's Brews,American Imperial IPA,10.50%,northwest,47.66539789999999,-122.3730986
594,Cran Bu,129,4.29,de Garde Brewing,Berliner Weisse,2.30%,northwest,45.4572866,-123.8453827
595,Mogli,806,4.26,Caldera Brewing Company,American Imperial Porter,8.50%,northwest,42.1819009,-122.662854
596,Cascade Bourbonic Plague,619,4.26,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,10.50%,northwest,45.485799,-122.754126
597,Super Nebula,226,4.27,Block 15 Brewery & Restaurant,American Imperial Stout,11.00%,northwest,44.5302722,-123.2691108
598,Fresh Squeezed IPA,"5,407",4.25,Deschutes Brewery,American IPA,6.40%,northwest,44.0582,-121.3153
599,Blueberry Pancakes,22,4.44,Great Notion Brewing,American Imperial Stout,8.00%,northwest,45.5588904,-122.6426704
600,Pliny The Younger,"3,259",4.69,Russian River Brewing Company,American Imperial IPA,10.25%,pacific,38.441804,-122.711642
601,Fundamental Observation,"1,302",4.69,Bottle Logic Brewing,American Imperial Stout,14.30%,pacific,33.8495445,-117.8597746
602,Westly,355,4.67,Sante Adairius Rustic Ales,American Wild Ale,8.50%,pacific,36.9832373,-121.9496012
603,Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged,918,4.65,AleSmith Brewing Company,American Imperial Stout,12.00%,pacific,32.888186,-117.1498484
604,Pliny The Elder,"15,128",4.64,Russian River Brewing Company,American Imperial IPA,8.00%,pacific,38.441804,-122.711642
605,Duck Duck Gooze,"1,891",4.62,The Lost Abbey,Belgian Gueuze,7.00%,pacific,33.1434,-117.1661
606,Parabola,"6,941",4.61,Firestone Walker Brewing Co.,Russian Imperial Stout,13.00%,pacific,35.6369,-120.6545
607,Cable Car,"1,073",4.58,The Lost Abbey,American Wild Ale,7.00%,pacific,33.1434,-117.1661
608,Pugachev Royale,309,4.59,Hangar 24 Brewing,Russian Imperial Stout,14.80%,pacific,34.0831152,-117.1418175
609,Black Tuesday - Reserve,261,4.59,The Bruery,American Imperial Stout,20.50%,pacific,33.8711,-117.8628
610,Citra,"1,801",4.56,Kern River Brewing Company,American Imperial IPA,8.00%,pacific,35.7574666,-118.4192969
611,West Ashley,"1,120",4.56,Sante Adairius Rustic Ales,American Wild Ale,7.30%,pacific,36.9832373,-121.9496012
612,Supplication,"6,576",4.55,Russian River Brewing Company,American Wild Ale,7.75%,pacific,38.441804,-122.711642
613,Beatification,"2,791",4.55,Russian River Brewing Company,American Wild Ale,6.00%,pacific,38.441804,-122.711642
614,Black Tuesday,"4,080",4.54,The Bruery,American Imperial Stout,19.50%,pacific,33.8711,-117.8628
615,Parabajava,875,4.54,Firestone Walker Brewing Co.,Russian Imperial Stout,14.00%,pacific,35.6369,-120.6545
616,Chocolate Rain,"2,800",4.53,The Bruery,American Imperial Stout,19.60%,pacific,33.8711,-117.8628
617,Modem Tones - Bourbon Barrel-Aged - Vanilla,72,4.62,Modern Times Beer,American Imperial Stout,14.40%,pacific,32.7157,-117.1611
618,Proper Dose,57,4.64,Horus Aged Ales,American Imperial Stout,13.90%,pacific,33.2067417,-117.2956887
619,Great,724,4.53,Alpine Beer Company,American Barleywine,14.00%,pacific,32.7157,-117.1611
620,§ucaba,"5,353",4.52,Firestone Walker Brewing Co.,British Barleywine,12.50%,pacific,35.6369,-120.6545
621,Speedway Stout - Bourbon Barrel-Aged,"2,253",4.52,AleSmith Brewing Company,American Imperial Stout,12.00%,pacific,32.888186,-117.1498484
622,Grey Monday,"1,866",4.51,The Bruery,American Imperial Stout,19.90%,pacific,33.8711,-117.8628
623,Saison Bernice,994,4.51,Sante Adairius Rustic Ales,Belgian Saison,6.50%,pacific,36.9832373,-121.9496012
624,Ground State,617,4.51,Bottle Logic Brewing,American Imperial Stout,13.40%,pacific,33.8495445,-117.8597746
625,Kiwi Herman,290,4.52,Alpine Beer Company,American Wild Ale,7.00%,pacific,32.7157,-117.1611
626,Speedway Stout - Vietnamese Coffee,"1,952",4.5,AleSmith Brewing Company,American Imperial Stout,12.00%,pacific,32.888186,-117.1498484
627,Mocha Wednesday,"1,444",4.5,The Bruery,American Imperial Stout,19.90%,pacific,33.8711,-117.8628
628,Leche Borracho,412,4.51,Bottle Logic Brewing,American Imperial Stout,11.00%,pacific,33.8495445,-117.8597746
629,Space Trace,351,4.51,Bottle Logic Brewing,American Imperial Stout,11.10%,pacific,33.8495445,-117.8597746
630,Bad Boy,582,4.5,Alpine Beer Company,American Imperial IPA,9.00%,pacific,32.7157,-117.1611
631,Foggy Window,202,4.52,Monkish Brewing Co.,New England IPA,8.10%,pacific,33.8463468,-118.3103487
632,Consecration,"5,497",4.49,Russian River Brewing Company,American Wild Ale,10.00%,pacific,38.441804,-122.711642
633,Number Crunch,185,4.52,Bottle Logic Brewing,American Imperial Stout,13.60%,pacific,33.8495445,-117.8597746
634,Foggier Window,207,4.51,Monkish Brewing Co.,New England IPA,8.10%,pacific,33.8463468,-118.3103487
635,Sante Adairius / Triple Rock Cellarman Barrel Aged Saison,509,4.49,Sante Adairius Rustic Ales,Belgian Saison,6.50%,pacific,36.9832373,-121.9496012
636,Monster Tones,23,4.74,Modern Times Beer,American Imperial Stout,13.00%,pacific,32.7157,-117.1611
637,Jam The Radar,301,4.49,Bottle Logic Brewing,American Imperial Stout,13.70%,pacific,33.8495445,-117.8597746
638,Stickee Monkee,"2,869",4.47,Firestone Walker Brewing Co.,Belgian Quadrupel (Quad),12.50%,pacific,35.6369,-120.6545
639,Red Eye November,259,4.49,Bottle Logic Brewing,Russian Imperial Stout,13.20%,pacific,33.8495445,-117.8597746
640,Darkstar November,618,4.47,Bottle Logic Brewing,Russian Imperial Stout,13.70%,pacific,33.8495445,-117.8597746
641,Imperial Eclipse Stout - Elijah Craig (12 Year),"2,003",4.46,FiftyFifty Brewing Co.,American Imperial Stout,11.90%,pacific,39.3218546,-120.1632682
642,Fyodor,"1,373",4.46,Stone Brewing,Russian Imperial Stout,13.10%,pacific,33.1192,-117.0864
643,Vastness Of Space - Bourbon Barrel-Aged,79,4.53,Cellarmaker Brewing Co.,American Imperial Stout,11.00%,pacific,37.777171,-122.41073
644,Temptation,"3,797",4.45,Russian River Brewing Company,American Wild Ale,7.50%,pacific,38.441804,-122.711642
645,Atomically,74,4.52,Monkish Brewing Co.,American Imperial IPA,8.30%,pacific,33.8463468,-118.3103487
646,Nelson,"4,186",4.44,Alpine Beer Company,American IPA,7.00%,pacific,32.7157,-117.1611
647,Winter Ale (5th Anniversary Ale),375,4.45,Kern River Brewing Company,American Imperial IPA,8.00%,pacific,35.7574666,-118.4192969
648,Speedway Stout - Jamaica Blue Mountain Coffee,647,4.44,AleSmith Brewing Company,American Imperial Stout,12.00%,pacific,32.888186,-117.1498484
649,Citra Showers,566,4.44,Noble Ale Works,American Imperial IPA,8.80%,pacific,33.8084819,-117.8828277
650,Appreciation,278,4.45,Sante Adairius Rustic Ales,Belgian Saison,7.30%,pacific,36.9832373,-121.9496012
651,"Biggie, Biggie, Biggie",35,4.59,Monkish Brewing Co.,New England IPA,10.10%,pacific,33.8463468,-118.3103487
